Rank,Language,Share,Trend
1,Python,29.71%,4.10%
2,Java,19.29%,-2.20%
3,Javascript,8.33%,0.00%
4,C#,7.27%,-0.40%
5,PHP,6.32%,-1.00%
6,C/C++,6.00%,-0.30%
7,R,3.79%,-0.20%
8,Objective-C,2.61%,-0.60%
9,Swift,2.50%,-0.10%
10,Matlab,1.84%,-0.20%
11,TypeScript,1.81%,0.20%
12,Kotlin,1.63%,0.50%
13,VBA,1.37%,-0.10%
14,Ruby,1.35%,-0.20%
15,Go,1.32%,0.30%
16,Scala,1.16%,0.00%
17,Visual Basic,0.98%,-0.20%
18,Rust,0.63%,0.20%
19,Perl,0.51%,-0.10%
20,Dart,0.39%,0.20%
21,Lua,0.36%,0.00%
22,Haskell,0.29%,0.00%
23,Julia,0.28%,0.00%
24,Delphi,0.23%,0.00%
